Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Welcome /webtours/-80,90,23,0,48,22.86,0.000%,.57557,0.37,0.31,663.5
Welcome /cgi-bin/welcome.pl-81,90,45,34,834,83.60,0.000%,.57544,0.58,0.33,1025.0
Welcome /cgi-bin/nav.pl-82,90,82,81,94,2.01,0.000%,.57527,0.97,0.34,1735.4
Login /cgi-bin/login.pl-83,90,85,40,94,5.44,0.000%,.57523,0.54,0.48,958.0
Login /cgi-bin/login.pl-84,90,84,82,125,4.88,0.000%,.57523,0.65,0.37,1156.5
Login /cgi-bin/nav.pl-85,90,83,79,99,2.36,0.000%,.57523,0.98,0.37,1749.0
Flights /cgi-bin/welcome.pl-86,90,84,75,411,35.07,0.000%,.57524,0.47,0.39,843.0
Flights /cgi-bin/nav.pl-87,90,82,81,94,2.09,0.000%,.57522,0.98,0.38,1749.0
Flights /cgi-bin/reservations.pl-88,89,91,49,100,4.78,0.000%,.57289,2.53,0.38,4520.0
Find flight /cgi-bin/reservations.pl-89,89,89,87,112,2.66,0.000%,.57290,1.51,0.60,2696.7
Find flight2  /cgi-bin/reservations.pl-90,89,90,47,99,4.84,0.000%,.57290,1.65,0.53,2958.1
Payment details /cgi-bin/reservations.pl-91,89,90,56,97,4.05,0.000%,.57290,1.58,0.64,2828.4
Payment details /WebTours/images/bookanother.gif-92,89,26,1,48,22.73,0.000%,.57306,0.62,0.30,1103.4
Logout /cgi-bin/welcome.pl-93,89,37,34,51,3.54,0.000%,.57310,0.57,0.39,1025.0
Logout /cgi-bin/nav.pl-94,89,82,81,94,1.93,0.000%,.57293,0.97,0.34,1735.0
Debug Sampler,44,0,0,1,0.34,0.000%,.28707,0.44,0.00,1581.3
Buy,44,1080,1055,1441,58.79,0.000%,.28509,7.91,3.31,28421.8
TOTAL,1431,100,0,1441,178.41,0.000%,9.11994,23.09,9.37,2592.9
